"year.group","scenario","tbmean","tbmin","tbmax"
2051,"RCP 2.6",27.65677698188,22.9945131155,33.618912055
2051,"RCP 4.5",25.81176241964,21.3035401735,31.610098386
2051,"RCP 8.5",24.41239805848,20.310241255,30.423526407
2052,"Status quo",27.23525715052,22.7495303245,32.94523826
2052,"RCP 2.6",27.66770779088,22.999773662,33.63616407
2052,"RCP 4.5",25.7370768376,21.247344817,31.5095149505
2052,"RCP 8.5",24.05686827836,19.981590113,30.0292338285
2053,"Status quo",27.2353222088,22.749503983,32.945279135
2053,"RCP 2.6",27.59648303744,22.9319936595,33.562335395
2053,"RCP 4.5",25.69592944032,21.215408976,31.4541891795
2053,"RCP 8.5",23.631609518048,19.6052388505,29.555884825
2054,"Status quo",27.23538220896,22.749511676,32.94529559
2054,"RCP 2.6",27.55721939832,22.8960935815,33.51352756
2054,"RCP 4.5",25.6215509476,21.1427049015,31.371974461
2054,"RCP 8.5",23.187478370272,19.1912048665,29.06451147
2055,"Status quo",27.2354350948,22.7495373035,32.94529908
2055,"RCP 2.6",27.567380311,22.905935403,33.51962896
2055,"RCP 4.5",25.50199382612,21.0292329015,31.2417706375
2055,"RCP 8.5",22.917214826568,18.9255806285,28.7729617955
2056,"Status quo",27.23548023432,22.749570229,32.94528402
2056,"RCP 2.6",27.5627330968,22.901629736,33.512957865
2056,"RCP 4.5",25.36850857952,20.904840768,31.0893875525
2056,"RCP 8.5",22.664672274164,18.688806549,28.4949314215
2057,"Status quo",27.23551745692,22.7495990035,32.94527164
2057,"RCP 2.6",27.56380107212,22.9004699835,33.51220745
2057,"RCP 4.5",25.50591996952,21.0376557235,31.229056393
2057,"RCP 8.5",22.352198406776,18.3910447035,28.1600245955
2058,"Status quo",27.23554812588,22.7496165485,32.9452584
2058,"RCP 2.6",27.591316496,22.92329868,33.540373785
2058,"RCP 4.5",25.5543304708,21.074668985,31.288490271
2058,"RCP 8.5",21.842949950068,17.9178725315,27.611748656
2059,"Status quo",27.2355738256,22.7496250195,32.94524951
2059,"RCP 2.6",27.59411114524,22.92349729,33.543713455
2059,"RCP 4.5",25.26844803404,20.7982391405,30.988029854
2059,"RCP 8.5",21.341484048904,17.45917802345,27.0655532815
2060,"Status quo",27.23559585108,22.7496256495,32.94524534
2060,"RCP 2.6",27.57353068748,22.9014794815,33.52181914
2060,"RCP 4.5",24.860540796388,20.4301692595,30.545673568
2060,"RCP 8.5",21.059838901552,17.1764360791,26.764777771
2061,"Status quo",27.23561520204,22.749619088,32.945246345
2061,"RCP 2.6",27.55607379008,22.884914981,33.501636035
2061,"RCP 4.5",24.66415503908,20.268138341,30.3134733575
2061,"RCP 8.5",20.64019668232,16.7730623175,26.3286855585
2062,"Status quo",27.23563278652,22.7496104725,32.945251155
2062,"RCP 2.6",27.51597499212,22.848669937,33.455728945
2062,"RCP 4.5",24.741402879676,20.345858503,30.388627933
2062,"RCP 8.5",20.147809840456,16.30526676485,25.8231623715
2063,"Status quo",27.2356486284,22.7496021775,32.945256695
2063,"RCP 2.6",27.5176640412,22.848791255,33.451084845
2063,"RCP 4.5",24.737534754408,20.3460804895,30.381755024
2063,"RCP 8.5",19.656203285256,15.85048099215,25.295669194
2064,"Status quo",27.23566313464,22.7495974425,32.94526397
2064,"RCP 2.6",27.61015667732,22.9322698,33.546993015
2064,"RCP 4.5",24.621721054536,20.2299445725,30.2558144375
2064,"RCP 8.5",19.084099085232,15.3259485137,24.6733999805
2065,"Status quo",27.23567629576,22.7495960075,32.94527336
2065,"RCP 2.6",27.62668673308,22.94572765,33.56957515
2065,"RCP 4.5",24.484259961864,20.1020036525,30.109444449
2065,"RCP 8.5",18.6977270678096,14.93108299755,24.2864585175
2066,"Status quo",27.2356880384,22.7495964625,32.945280355
2066,"RCP 2.6",27.51297481968,22.8381528535,33.449417025
2066,"RCP 4.5",24.389510020076,20.009787459,30.0093186645
2066,"RCP 8.5",18.3741074152588,14.5879124746,23.983213584
2067,"Status quo",27.23569840172,22.7495983375,32.945283675
2067,"RCP 2.6",27.45402792536,22.782750459,33.3801929
2067,"RCP 4.5",24.335656113812,19.9589275475,29.951503366
2067,"RCP 8.5",17.8761925071188,14.1017474432,23.4978037495
2068,"Status quo",27.2357074724,22.7495997825,32.94528653
2068,"RCP 2.6",27.54373472876,22.8677272235,33.46752013
2068,"RCP 4.5",24.318170464348,19.945404518,29.9311086745
2068,"RCP 8.5",17.4018790706588,13.6405950024,23.048294135
2069,"Status quo",27.23571540784,22.7496015825,32.945287705
2069,"RCP 2.6",27.63841752192,22.9531734975,33.56975012
2069,"RCP 4.5",24.285705709136,19.9190061,29.894440313
2069,"RCP 8.5",17.1420127082528,13.33778663435,22.839345615
2070,"Status quo",27.2357223528,22.7496023525,32.94528803
2070,"RCP 2.6",27.63550917196,22.9463307765,33.573937185
2070,"RCP 4.5",24.106202393892,19.751909542,29.6957787965
2070,"RCP 8.5",16.933777407502,13.096065476985,22.6714061765
2071,"Status quo",27.2357284104,22.7496030025,32.94528753
2071,"RCP 2.6",27.59613355588,22.9045159925,33.534927475
2071,"RCP 4.5",23.880603681852,19.53618689995,29.449607879
2071,"RCP 8.5",16.4799031207864,12.65459664589,22.22333943725
2072,"Status quo",27.2357337382,22.7496025875,32.94528641
2072,"RCP 2.6",27.6304647646,22.93380588,33.567749355
2072,"RCP 4.5",23.827754623632,19.47636906595,29.3996207675
2072,"RCP 8.5",15.6311184693,11.837542985915,21.3533660887
2073,"Status quo",27.23573843456,22.7496031925,32.945285875
2073,"RCP 2.6",27.68464555808,22.9850984735,33.623166175
2073,"RCP 4.5",23.811853901312,19.46431754265,29.3768867845
2073,"RCP 8.5",14.750939842105,10.9074191859,20.5113940362
2074,"Status quo",27.2357425148,22.7496036325,32.9452848
2074,"RCP 2.6",27.65263881744,22.956215732,33.58857095
2074,"RCP 4.5",23.698752174892,19.35612834565,29.2554801685
2074,"RCP 8.5",14.2346005922701,10.268133052895,20.07953395745
2075,"Status quo",27.2357460944,22.7496037425,32.945283895
2075,"RCP 2.6",27.59078320908,22.898507091,33.519123585
2075,"RCP 4.5",23.793268857712,19.43884195485,29.355323392
2075,"RCP 8.5",13.8931188906796,9.798937904941,19.83718742815
2076,"Status quo",27.2357493176,22.7496036875,32.945283485
2076,"RCP 2.6",27.5870058316,22.8962081915,33.50866729
2076,"RCP 4.5",23.93110068884,19.56871199585,29.500418072
2076,"RCP 8.5",13.3915653100086,9.259005580749,19.36723124835
2077,"Status quo",27.235752058,22.7496034675,32.94528288
2077,"RCP 2.6",27.63495233612,22.9426607785,33.556667995
2077,"RCP 4.5",23.892580651808,19.5393125205,29.4635862485
2077,"RCP 8.5",12.7168153893377,8.5819968666065,18.72953471432
2078,"Status quo",27.23575459152,22.7496032475,32.94528233
2078,"RCP 2.6",27.64943459312,22.9555313625,33.57396847
2078,"RCP 4.5",23.596259380328,19.26085851725,29.1487058735
2078,"RCP 8.5",12.0083525602788,7.8713318364259,18.015095676075
2079,"Status quo",27.235756821,22.7496029725,32.94528233
2079,"RCP 2.6",27.64760734408,22.950711014,33.573964235
2079,"RCP 4.5",23.306031185724,18.9875031439,28.8281795555
2079,"RCP 8.5",11.4681152344434,7.3073211820902,17.51747693279
2080,"Status quo",27.23575876696,22.7496027525,32.94528233
2080,"RCP 2.6",27.68237992644,22.97983067,33.61175302
2080,"RCP 4.5",23.186233420776,18.89005461965,28.691886228
2080,"RCP 8.5",11.1293733108793,6.86730588459154,17.3280094751
2081,"Status quo",27.23576052416,22.7496025875,32.94528233
2081,"RCP 2.6",27.71966718964,23.012747595,33.653208205
2081,"RCP 4.5",23.015530561196,18.7411709161,28.5002358025
2081,"RCP 8.5",10.7939018650358,6.47100401925277,17.094822919845
2082,"Status quo",27.23576209936,22.7496024775,32.94528233
2082,"RCP 2.6",27.69642692604,22.991399646,33.62987426
2082,"RCP 4.5",22.923011916804,18.6615803571,28.396976468
2082,"RCP 8.5",10.2611635812836,5.98958926712501,16.569979137057
2083,"Status quo",27.23576344976,22.7496024775,32.94528233
2083,"RCP 2.6",27.63831333644,22.937940649,33.564663355
2083,"RCP 4.5",22.980366584744,18.71413602575,28.45808726
2083,"RCP 8.5",9.80501307140895,5.57104509173281,16.1166920145085
2084,"Status quo",27.23576459856,22.7496024775,32.94528233
2084,"RCP 2.6",27.66312403528,22.961328196,33.58466817
2084,"RCP 4.5",23.120847654432,18.84148693655,28.611446701
2084,"RCP 8.5",9.48020101404026,5.24201007966405,15.8376867506528
2085,"Status quo",27.23576564336,22.7496024775,32.94528233
2085,"RCP 2.6",27.72988550696,23.02363448,33.654077745
2085,"RCP 4.5",23.104333252488,18.81639659865,28.595658099
2085,"RCP 8.5",9.20736744479034,4.94482861062483,15.5932760497701
2086,"Status quo",27.23576659616,22.7496025325,32.94528233
2086,"RCP 2.6",27.72374936128,23.017456929,33.65071941
2086,"RCP 4.5",23.036700653892,18.74414519475,28.52889058
2086,"RCP 8.5",8.77639964010825,4.5780033606947,15.0992698084007
2087,"Status quo",27.23576740936,22.7496026425,32.94528233
2087,"RCP 2.6",27.64356344808,22.9431997015,33.56553991
2087,"RCP 4.5",23.066598998448,18.77224923385,28.56751119
2087,"RCP 8.5",8.27747883902774,4.16802542442372,14.4896558430934
2088,"Status quo",27.23576811136,22.7496026975,32.94528233
2088,"RCP 2.6",27.60485740628,22.9088043955,33.518405515
2088,"RCP 4.5",23.1159103782376,18.82031330415,28.6233945735
2088,"RCP 8.5",7.84498760858715,3.80490873793041,14.0122578053408
2089,"Status quo",27.23576872456,22.7496026975,32.94528233
2089,"RCP 2.6",27.65914540804,22.959415558,33.57278464
2089,"RCP 4.5",22.8407018360564,18.5687640006,28.3276020375
2089,"RCP 8.5",7.46637963252904,3.47083538404892,13.6823746148348
2090,"Status quo",27.23576929056,22.7496026975,32.94528233
2090,"RCP 2.6",27.70097865664,22.996736056,33.618859625
2090,"RCP 4.5",22.4744517354788,18.2357744629,27.92686139
2090,"RCP 8.5",7.05061201413087,3.11697223753468,13.269218361778
2091,"Status quo",27.23576979256,22.7496026975,32.94528233
2091,"RCP 2.6",27.70335527216,22.994762207,33.626030895
2091,"RCP 4.5",22.570381734552,18.33759095145,28.0296975285
2091,"RCP 8.5",6.56680544722739,2.75294406870102,12.6999908693005
2092,"Status quo",27.23577025816,22.7496026975,32.94528233
2092,"RCP 2.6",27.7095835526,22.997445198,33.63632151
2092,"RCP 4.5",22.89223849501,18.62281718385,28.3663657275
2092,"RCP 8.5",6.09249059009043,2.41167809465248,12.1016167126498
2093,"Status quo",27.23577064136,22.7496026975,32.94528233
2093,"RCP 2.6",27.70596727608,22.9944866385,33.63328357
2093,"RCP 4.5",23.1017015843468,18.8069005838,28.5887210625
2093,"RCP 8.5",5.69485911402357,2.09969093254565,11.6560552037595
2094,"Status quo",27.23577101016,22.7496026975,32.94528233
2094,"RCP 2.6",27.68161080468,22.973957148,33.60433572
2094,"RCP 4.5",23.2534920233712,18.9273654339,28.7573324095
2094,"RCP 8.5",5.45408420497921,1.8629772095083,11.5513831375682
2095,"Status quo",27.23577132056,22.7496026975,32.94528233
2095,"RCP 2.6",27.67404366308,22.9674116605,33.591758035
2095,"RCP 4.5",23.240099981924,18.90262177565,28.760880614
2095,"RCP 8.5",5.26446164451172,1.66186367278875,11.4640425483157
2096,"Status quo",27.23577161976,22.7496026975,32.94528233
2096,"RCP 2.6",27.67038906544,22.965139131,33.58637866
2096,"RCP 4.5",23.010275667228,18.6932247177,28.5240397965
2096,"RCP 8.5",4.97982684771097,1.44932309844905,11.0740146011399
2097,"Status quo",27.23577187456,22.7496026975,32.94528233
2097,"RCP 2.6",27.61583956924,22.916235303,33.5270798
2097,"RCP 4.5",22.7794406793204,18.49298605015,28.276712334
2097,"RCP 8.5",4.61753026302015,1.23187283349644,10.5428730531737
2098,"Status quo",27.23577204816,22.7496026975,32.94528233
2098,"RCP 2.6",27.58867686184,22.8899621,33.494222935
2098,"RCP 4.5",22.6452619220624,18.390566857,28.122603039
2098,"RCP 8.5",4.21321379855753,1.02769384625629,9.91514759404581
2099,"Status quo",27.23577225616,22.7496026975,32.94528233
2099,"RCP 2.6",27.65556096232,22.948856722,33.56256609
2099,"RCP 4.5",22.4974413271448,18.2718322459,27.95321347
2099,"RCP 8.5",3.94092633051675,0.86130284114465,9.60748819165519
2100,"Status quo",27.23577241576,22.7496026975,32.94528233
2100,"RCP 2.6",27.72053830236,23.006282684,33.63767567
2100,"RCP 4.5",22.5090226407296,18.28243163795,27.965163307
2100,"RCP 8.5",3.71849354133181,0.711093096239225,9.36512197040504
