"scenario","year","trials","biomass","species"
"RCP 2.6",2050,"./mc_output_trial0005",2.121336,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0005",0.6032338,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0005",0.4658557,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0005",14.17018,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0005",18.44255,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0005",17.85966,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0005",13.60509,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0005",18.526,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0005",27.0825,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0005",22.15295,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0005",17.41695,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0005",0.6918682,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0005",0.6508927,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0005",0.6179557,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0005",0.4380223,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0005",0.262229,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0005",0.273942,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0005",0.2354916,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0005",0.2812453,"Zooplankton"
"Status quo",2050,"./mc_output_trial0005",0.1192675,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0005",0.1186679,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0005",0.1090808,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0005",0.09967528,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0005",195.6456,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0005",218.4056,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0005",204.6501,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0005",201.4854,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0005",838.5433,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0005",759.4378,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0005",793.8537,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0005",777.126,"Other algal turf"
"Status quo",2050,"./mc_output_trial0006",0.02292591,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0006",0.02302057,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0006",0.02550953,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0006",0.03741183,"Sea birds"
"Status quo",2050,"./mc_output_trial0006",0.07048114,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0006",0.0690366,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0006",0.07258005,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0006",0.06335688,"Turtles"
"Status quo",2050,"./mc_output_trial0006",0.1306076,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0006",0.2447106,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0006",0.1092781,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0006",0.1969858,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0006",4.85006,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0006",3.976459,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0006",1.185551,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0006",0.7577421,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0006",18.3396,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0006",15.18273,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0006",13.60498,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0006",17.29392,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0006",29.17657,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0006",24.7447,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0006",30.80321,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0006",17.28607,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0006",0.6656932,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0006",0.6084433,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0006",0.523792,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0006",0.4180239,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0006",0.2415596,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0006",0.1964807,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0006",0.2189601,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0006",0.3040752,"Zooplankton"
"Status quo",2050,"./mc_output_trial0006",0.1128312,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0006",0.1099357,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0006",0.1049072,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0006",0.1115471,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0006",227.6694,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0006",210.7258,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0006",204.5194,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0006",184.9521,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0006",759.5087,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0006",805.5574,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0006",744.5586,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0006",829.5217,"Other algal turf"
"Status quo",2050,"./mc_output_trial0007",0.02559366,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0007",0.03486928,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0007",0.03532217,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0007",0.03524018,"Sea birds"
"Status quo",2050,"./mc_output_trial0007",0.08874027,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0007",0.07311891,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0007",0.06597193,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0007",0.05835007,"Turtles"
"Status quo",2050,"./mc_output_trial0007",0.2581382,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0007",0.1248559,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0007",0.2696132,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0007",0.0847111,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0007",4.017943,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0007",2.530773,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0007",1.303616,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0007",2.130612,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0007",18.35623,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0007",15.99351,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0007",16.15258,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0007",15.09864,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0007",24.36968,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0007",29.28706,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0007",19.80716,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0007",22.79499,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0007",0.7605727,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0007",0.6693572,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0007",0.5909137,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0007",0.4850434,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0007",0.2585706,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0007",0.2416099,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0007",0.2937799,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0007",0.3535926,"Zooplankton"
"Status quo",2050,"./mc_output_trial0007",0.1200228,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0007",0.1184366,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0007",0.100894,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0007",0.09567139,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0007",205.1365,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0007",218.7141,"Digenea simplex"
