"year.group","mean","percent_05","percent_95","scenario","species"
2075,0.02983872848,0.0187522795,0.041678531,"RCP 2.6","X1"
2076,0.02982076536,0.01874955,0.041646291,"RCP 2.6","X1"
2077,0.02990041728,0.018801481,0.0417425435,"RCP 2.6","X1"
2078,0.02993746228,0.018818133,0.041803953,"RCP 2.6","X1"
2079,0.02991373004,0.018801486,0.0417851795,"RCP 2.6","X1"
2080,0.02992543248,0.018812347,0.041791765,"RCP 2.6","X1"
2081,0.0299670826,0.0188385905,0.0418344345,"RCP 2.6","X1"
2082,0.02995335316,0.018825682,0.041820267,"RCP 2.6","X1"
2083,0.02986039888,0.01876669,0.041704831,"RCP 2.6","X1"
2084,0.02985084808,0.0187671595,0.041682013,"RCP 2.6","X1"
2085,0.0299214076,0.01881079,0.041765528,"RCP 2.6","X1"
2086,0.02993868988,0.018814576,0.04180251,"RCP 2.6","X1"
2087,0.02987083108,0.018772145,0.041728722,"RCP 2.6","X1"
2088,0.02981395164,0.0187438475,0.0416506325,"RCP 2.6","X1"
2089,0.02988189804,0.018792082,0.0417203775,"RCP 2.6","X1"
2090,0.02994498948,0.0188253145,0.041807053,"RCP 2.6","X1"
2091,0.02992127852,0.0188040025,0.0417903845,"RCP 2.6","X1"
2092,0.02991758836,0.0188050185,0.041780111,"RCP 2.6","X1"
2093,0.02993242416,0.0188174485,0.0417929895,"RCP 2.6","X1"
2094,0.02989882348,0.0187946835,0.041751304,"RCP 2.6","X1"
2095,0.02986480416,0.0187736215,0.041706049,"RCP 2.6","X1"
2096,0.02988524336,0.018788919,0.041731915,"RCP 2.6","X1"
2097,0.02986017528,0.0187719385,0.0417102865,"RCP 2.6","X1"
2098,0.02981741304,0.0187460305,0.041656431,"RCP 2.6","X1"
2099,0.02986219316,0.01877652,0.041701554,"RCP 2.6","X1"
2100,0.02995229292,0.01882814,0.041814833,"RCP 2.6","X1"
2012,0.02494734816,0.0162413405,0.0344242045,"RCP 4.5","X1"
2013,0.02975849328,0.019335947,0.0406179965,"RCP 4.5","X1"
2014,0.03052211204,0.019985593,0.041709452,"RCP 4.5","X1"
2015,0.0305579492,0.0197651455,0.042449573,"RCP 4.5","X1"
2016,0.030410196,0.0194722275,0.0424587675,"RCP 4.5","X1"
2017,0.03002947188,0.019228516,0.0416305645,"RCP 4.5","X1"
2018,0.02966634468,0.0191606685,0.0409809745,"RCP 4.5","X1"
2019,0.0295760644,0.0191955775,0.0408512315,"RCP 4.5","X1"
2020,0.02973181416,0.0193728385,0.041035275,"RCP 4.5","X1"
2021,0.02993861436,0.019491451,0.0413044445,"RCP 4.5","X1"
2022,0.03000537148,0.0195059115,0.041392627,"RCP 4.5","X1"
2023,0.02998653396,0.0194778445,0.0413709225,"RCP 4.5","X1"
2024,0.03000873988,0.0194677305,0.041411029,"RCP 4.5","X1"
2025,0.03003889788,0.019455793,0.041463634,"RCP 4.5","X1"
2026,0.03006351364,0.019450121,0.04152022,"RCP 4.5","X1"
2027,0.03008733296,0.019453938,0.0415702605,"RCP 4.5","X1"
2028,0.0300966778,0.0194638175,0.041587608,"RCP 4.5","X1"
2029,0.03013254432,0.0194988925,0.04163322,"RCP 4.5","X1"
2030,0.03014747988,0.019512379,0.041636886,"RCP 4.5","X1"
2031,0.03013435908,0.019493054,0.041607915,"RCP 4.5","X1"
2032,0.03009457968,0.0194433305,0.0415531085,"RCP 4.5","X1"
2033,0.03004507664,0.0193860065,0.041497134,"RCP 4.5","X1"
2034,0.03007927548,0.0193937695,0.0415633905,"RCP 4.5","X1"
2035,0.03010433856,0.0194110515,0.041594031,"RCP 4.5","X1"
2036,0.03010355072,0.0194114525,0.0415917055,"RCP 4.5","X1"
2037,0.0300169468,0.019339804,0.0415029015,"RCP 4.5","X1"
2038,0.02980770764,0.019172098,0.041278724,"RCP 4.5","X1"
2039,0.02984936172,0.019164164,0.0413934975,"RCP 4.5","X1"
2040,0.03001648004,0.0192694145,0.0416098095,"RCP 4.5","X1"
2041,0.03001555768,0.019289471,0.0415821955,"RCP 4.5","X1"
2042,0.0298953076,0.0192118805,0.0414269185,"RCP 4.5","X1"
2043,0.02978992784,0.0191200775,0.041308235,"RCP 4.5","X1"
2044,0.02958922128,0.018960072,0.0410557115,"RCP 4.5","X1"
2045,0.02957161544,0.0189187845,0.0410507155,"RCP 4.5","X1"
2046,0.02983761744,0.0191040375,0.041396873,"RCP 4.5","X1"
2047,0.02995373064,0.0191899645,0.041514571,"RCP 4.5","X1"
2048,0.02987703844,0.0191519915,0.0414148725,"RCP 4.5","X1"
2049,0.02972280776,0.0190464705,0.0412061925,"RCP 4.5","X1"
2050,0.02939715256,0.018830283,0.04075748,"RCP 4.5","X1"
2051,0.02910399168,0.018574706,0.040379463,"RCP 4.5","X1"
2052,0.02913466512,0.0185851685,0.0404822495,"RCP 4.5","X1"
2053,0.02923110368,0.0186795525,0.0406012695,"RCP 4.5","X1"
2054,0.02920311524,0.01867936,0.040517884,"RCP 4.5","X1"
2055,0.0291637986,0.0186612115,0.040469413,"RCP 4.5","X1"
2056,0.02898156332,0.01854254,0.0402429335,"RCP 4.5","X1"
2057,0.02927308176,0.0187186415,0.0406683405,"RCP 4.5","X1"
2058,0.02949465228,0.018878775,0.04093208,"RCP 4.5","X1"
2059,0.0290882094,0.0186467435,0.040310854,"RCP 4.5","X1"
2060,0.02849991544,0.0182464,0.039608693,"RCP 4.5","X1"
2061,0.02830093432,0.0180615765,0.0394271485,"RCP 4.5","X1"
2062,0.02865287932,0.0183011775,0.039953679,"RCP 4.5","X1"
2063,0.02877846,0.0183767935,0.040067487,"RCP 4.5","X1"
2064,0.02862527032,0.018273747,0.039808333,"RCP 4.5","X1"
2065,0.02849604368,0.0181868,0.039594443,"RCP 4.5","X1"
2066,0.02849445704,0.01817517,0.0396191255,"RCP 4.5","X1"
2067,0.02850915968,0.018186793,0.0396499735,"RCP 4.5","X1"
2068,0.02852981896,0.018202814,0.039673511,"RCP 4.5","X1"
2069,0.0285587874,0.0182207125,0.039709116,"RCP 4.5","X1"
2070,0.02835224624,0.0180986945,0.0394423435,"RCP 4.5","X1"
2071,0.0280270418,0.017897997,0.0389998975,"RCP 4.5","X1"
2072,0.02803514344,0.017888553,0.0390200335,"RCP 4.5","X1"
2073,0.02820811884,0.0179962355,0.039275726,"RCP 4.5","X1"
2074,0.02802494436,0.017896213,0.0390497385,"RCP 4.5","X1"
2075,0.028220393,0.0180186095,0.0392695515,"RCP 4.5","X1"
2076,0.02855177556,0.0182298765,0.0397289975,"RCP 4.5","X1"
2077,0.02853015496,0.018234529,0.039729718,"RCP 4.5","X1"
2078,0.0280528716,0.0179451945,0.0390796295,"RCP 4.5","X1"
2079,0.02760679328,0.017648135,0.038460839,"RCP 4.5","X1"
2080,0.02762593636,0.0176302375,0.038630613,"RCP 4.5","X1"
2081,0.02744747904,0.0175235865,0.038404939,"RCP 4.5","X1"
2082,0.02734403952,0.0174749935,0.038265977,"RCP 4.5","X1"
2083,0.0275487052,0.0176147815,0.0385711525,"RCP 4.5","X1"
2084,0.02793438504,0.017861354,0.039069287,"RCP 4.5","X1"
2085,0.02793219564,0.017865724,0.039042006,"RCP 4.5","X1"
2086,0.02781414012,0.017798787,0.0388733885,"RCP 4.5","X1"
2087,0.02789340988,0.0178429585,0.039001774,"RCP 4.5","X1"
2088,0.02806589428,0.0179450995,0.0392676635,"RCP 4.5","X1"
2089,0.02763186552,0.017687576,0.0386898355,"RCP 4.5","X1"
2090,0.02692361048,0.0172451525,0.0378007685,"RCP 4.5","X1"
2091,0.02719451508,0.0174411195,0.038274033,"RCP 4.5","X1"
2092,0.02793790812,0.0179234645,0.0392355095,"RCP 4.5","X1"
2093,0.0282361736,0.0180672055,0.039576703,"RCP 4.5","X1"
2094,0.02839940132,0.018194804,0.039738717,"RCP 4.5","X1"
2095,0.02837388488,0.018177259,0.0397050855,"RCP 4.5","X1"
2096,0.02794673296,0.017901582,0.039144899,"RCP 4.5","X1"
2097,0.0275082572,0.0176139575,0.038576435,"RCP 4.5","X1"
2098,0.0274125814,0.0175415655,0.038495592,"RCP 4.5","X1"
2099,0.02720736232,0.0174232915,0.0382529065,"RCP 4.5","X1"
2100,0.02727648876,0.0174761535,0.038390097,"RCP 4.5","X1"
2012,0.02467291068,0.0161589725,0.033197465,"RCP 8.5","X1"
2013,0.02921713228,0.019516731,0.038903836,"RCP 8.5","X1"
2014,0.02992146656,0.020145222,0.0401535295,"RCP 8.5","X1"
2015,0.02995453344,0.0198787585,0.040316749,"RCP 8.5","X1"
2016,0.029831625,0.019659434,0.0401337365,"RCP 8.5","X1"
2017,0.02951485716,0.0195784695,0.0394216895,"RCP 8.5","X1"
2018,0.02921413152,0.019497878,0.038862667,"RCP 8.5","X1"
2019,0.02911661488,0.0194515015,0.03871183,"RCP 8.5","X1"
2020,0.0292420862,0.019516413,0.0389199155,"RCP 8.5","X1"
2021,0.02947467708,0.019657413,0.0392345475,"RCP 8.5","X1"
2022,0.0296912164,0.0198286685,0.0395158635,"RCP 8.5","X1"
2023,0.02969355504,0.0198274045,0.0395343425,"RCP 8.5","X1"
2024,0.02962341668,0.019772782,0.039473522,"RCP 8.5","X1"
2025,0.02967336772,0.0198079595,0.0395505655,"RCP 8.5","X1"
2026,0.02976227828,0.0198672505,0.0396531405,"RCP 8.5","X1"
2027,0.02975676844,0.0198591355,0.0396386735,"RCP 8.5","X1"
2028,0.02977099888,0.019865029,0.039674731,"RCP 8.5","X1"
2029,0.02984139,0.0199124635,0.0397821935,"RCP 8.5","X1"
2030,0.0298686626,0.0199315995,0.0398306875,"RCP 8.5","X1"
2031,0.02989251008,0.019948393,0.039866911,"RCP 8.5","X1"
2032,0.02991090592,0.0199556325,0.0398832715,"RCP 8.5","X1"
2033,0.0298454178,0.0198955485,0.0397791375,"RCP 8.5","X1"
2034,0.02972183864,0.0197908605,0.0395992465,"RCP 8.5","X1"
2035,0.02970420696,0.019766438,0.039578939,"RCP 8.5","X1"
2036,0.02977527544,0.0198184815,0.039687623,"RCP 8.5","X1"
2037,0.02969621444,0.0197678235,0.0395837355,"RCP 8.5","X1"
2038,0.02965873984,0.0197329455,0.0395318255,"RCP 8.5","X1"
2039,0.02954183112,0.0196366745,0.0393458395,"RCP 8.5","X1"
2040,0.02932642572,0.0194673785,0.039038736,"RCP 8.5","X1"
2041,0.02924848568,0.019404459,0.0389445245,"RCP 8.5","X1"
2042,0.02927318092,0.019430176,0.0389860185,"RCP 8.5","X1"
2043,0.02911385484,0.0193354895,0.038766,"RCP 8.5","X1"
2044,0.02862925404,0.019022496,0.0380985655,"RCP 8.5","X1"
2045,0.028581747,0.0190094865,0.038041759,"RCP 8.5","X1"
2046,0.02900235184,0.019327857,0.0386203715,"RCP 8.5","X1"
2047,0.02891334316,0.019290634,0.038507484,"RCP 8.5","X1"
2048,0.0283190956,0.01888478,0.0377049035,"RCP 8.5","X1"
2049,0.02820238208,0.0188121795,0.037638073,"RCP 8.5","X1"
2050,0.02833067336,0.018932018,0.037804839,"RCP 8.5","X1"
2051,0.02788910488,0.0186704075,0.0371947435,"RCP 8.5","X1"
2052,0.02749273384,0.0183925775,0.0367816795,"RCP 8.5","X1"
2053,0.027140534,0.018125892,0.036417846,"RCP 8.5","X1"
2054,0.02665683116,0.0177743225,0.035852596,"RCP 8.5","X1"
2055,0.02653380192,0.017674852,0.03570798,"RCP 8.5","X1"
2056,0.0264324782,0.0176267315,0.0356187025,"RCP 8.5","X1"
2057,0.02620167552,0.0174861785,0.0353656895,"RCP 8.5","X1"
2058,0.02563855888,0.017091427,0.0346737935,"RCP 8.5","X1"
2059,0.0250124976,0.016608492,0.0339413815,"RCP 8.5","X1"
2060,0.02497594884,0.0165228335,0.033984551,"RCP 8.5","X1"
2061,0.02461727912,0.0161920715,0.0335293655,"RCP 8.5","X1"
2062,0.0239674852,0.0156572065,0.032721087,"RCP 8.5","X1"
2063,0.0234877098,0.0152187845,0.0320981455,"RCP 8.5","X1"
2064,0.02285388996,0.014760972,0.0313928735,"RCP 8.5","X1"
2065,0.02255277876,0.0145269025,0.0311499825,"RCP 8.5","X1"
2066,0.02243601764,0.014452801,0.0310289715,"RCP 8.5","X1"
2067,0.02181354252,0.0140526425,0.030385476,"RCP 8.5","X1"
2068,0.021170562556,0.013581298,0.0298523455,"RCP 8.5","X1"
2069,0.021115740304,0.0134947815,0.0299574555,"RCP 8.5","X1"
